Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,1_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,5_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,5_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,5_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,5_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,6_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,12_PV-4,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,12_PV-4,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,12_PV-4,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,12_PV-4,PMax MW,REAL_TIME_renewables.csv
