Year,Month,Day,Period,1,2,3
2020,9,18,7,22868.85320000001,19246.315268935352,11450.99437597012
2020,9,18,8,23777.155400000003,20002.112967078887,11786.93642385813
2020,9,18,9,24368.2512,20802.54939593225,13134.591217773524
2020,9,18,10,26783.5904,23322.913352834315,15437.639200899712
2020,9,18,11,29633.5892,25488.742244162782,17892.574892075652
2020,9,18,12,34903.4478,28551.03958285181,20649.1150194743
2020,9,18,13,41640.7258,31740.226358855853,24152.79658674141
2020,9,18,14,47895.555000000015,35218.940842289994,26675.059477907533
2020,9,18,15,51976.384,38535.42085046862,29588.147080285213
2020,9,18,16,54304.1102,40868.28009124466,31848.921728605656
2020,9,18,17,54666.73900000001,41946.343690917056,34076.82233219267
2020,9,18,18,53814.45659999998,42456.49392420968,35675.25786001205
2020,9,18,19,51813.65279999998,42136.82181790017,36347.22593197355
2020,9,18,20,48582.5704,40740.63202947378,37155.9220553901
2020,9,18,21,44569.1352,38509.93616263789,36355.3451083492
2020,9,18,22,39593.9298,35228.969231429306,33330.33926609764
2020,9,18,23,35689.90079999999,32546.737250332662,29857.227225393744
2020,9,18,24,31925.263400000003,29666.875855610197,26611.2723577
2020,9,19,1,28842.1874,27380.85801417507,24520.986912350498
2020,9,19,2,26264.5768,24113.046364319267,20600.921891267197
2020,9,19,3,24215.597,21509.065966260896,16430.491584099942
2020,9,19,4,23025.97099999999,19902.01980303256,14082.707125426352
2020,9,19,5,22300.54599999999,19252.52332614824,13028.845552260194
2020,9,19,6,22159.4882,19068.952452249312,12354.919181945988
2020,9,19,7,22475.6294,19269.95026254897,12169.509746319654
2020,9,19,8,23442.5632,20019.634745388412,12398.443676504969
2020,9,19,9,24252.1268,20759.009023837192,13411.492540822135
2020,9,19,10,26683.08640000001,23295.079521375927,15709.292191994504
2020,9,19,11,29219.33360000001,25641.28079250602,18096.0573516052
2020,9,19,12,34217.87879999999,28756.625506557026,21798.777270950795
2020,9,19,13,40135.17760000001,32446.9302444598,25471.14142485439
2020,9,19,14,46377.1594,36868.966787940924,28780.385793555823
2020,9,19,15,50442.982,40241.41178385204,32056.455663431138
2020,9,19,16,52473.9492,43189.373185959084,34300.48897716703
2020,9,19,17,53000.6064,44567.17525943048,36367.78954475401
2020,9,19,18,52060.00080000001,45506.18057025492,38794.3201241759
2020,9,19,19,50192.1844,45136.61933986386,41123.92125956616
2020,9,19,20,47505.853,44382.63759952133,41791.70025477789
2020,9,19,21,43597.4766,42330.896312606,40530.07909373306
2020,9,19,22,38419.59700000001,38099.93886198602,36432.21815823656
2020,9,19,23,35121.9006,34572.79336371671,31332.157274493296
2020,9,19,24,31648.504200000007,31141.86237019952,27767.65703758277
2020,9,20,1,28588.70460000001,27893.15948308227,25225.48629487477
2020,9,20,2,26017.5784,24415.284190918617,20792.6954727294
2020,9,20,3,24095.9432,21887.08006711116,16688.479236847495
2020,9,20,4,23059.6926,20262.32645794883,14576.2661961124
2020,9,20,5,21872.00799999999,19013.30509879607,13409.801887809288
2020,9,20,6,21760.347,18742.236133574024,12638.915982849689
2020,9,20,7,22167.6092,18803.132830385304,12074.15930487574
2020,9,20,8,23178.25799999999,19364.76495173147,12234.77976504391
2020,9,20,9,23657.3076,20069.58738252748,13519.376691460538
2020,9,20,10,25859.8102,22254.52431142397,15934.653419237911
2020,9,20,11,28472.395,24178.30813571628,18263.49548320121
2020,9,20,12,33619.7058,27156.178720368527,21228.092526119977
2020,9,20,13,39114.7932,31160.550492979168,24694.181024226087
2020,9,20,14,43790.39100000001,35455.80113406871,28362.115449681944
2020,9,20,15,48307.673,39094.994821808126,31847.635806797647
2020,9,20,16,51459.431800000006,41914.21739470078,34911.89172542059
2020,9,20,17,52319.80320000001,43980.19781660498,38414.71172802694
2020,9,20,18,51678.678600000014,45387.35100304845,41792.53980082028
2020,9,20,19,49942.63740000001,45904.535251274254,43463.97697485754
2020,9,20,20,46653.920800000014,44848.92199540264,43245.97192295946
2020,9,20,21,42314.805,42564.32754515604,40358.9938620098
2020,9,20,22,37162.715,38284.44162013402,37292.20969094425
2020,9,20,23,34509.69939999999,34138.441042072154,32603.256546899487
2020,9,20,24,31358.448600000007,30547.352589836584,28543.503229478323
2020,9,21,1,28833.1284,27848.547527208808,26166.04953818443
2020,9,21,2,26373.0672,24460.415462166668,21937.827863944927
2020,9,21,3,23994.0246,21649.14872307941,18208.67718604844
2020,9,21,4,23005.7626,19987.4967365244,15934.744197066506
2020,9,21,5,22761.1004,19633.8580946444,14283.727748750314
2020,9,21,6,22546.638399999996,19414.374990118657,13457.296814453926
2020,9,21,7,22884.914600000004,19450.68259226176,13103.456432140272
2020,9,21,8,23956.2964,20075.426986109152,13438.58337028686
2020,9,21,9,24453.2392,20806.687369115512,14908.395245517146
2020,9,21,10,26880.5842,23231.911422973397,17211.025382349373
2020,9,21,11,30074.898,25545.19579489155,18962.76662432249
2020,9,21,12,35422.5284,28936.695096893367,22212.142331270767
2020,9,21,13,42207.1114,33188.25122423063,26348.5334707936
2020,9,21,14,48257.7622,37907.05138088326,29898.28824663309
2020,9,21,15,51611.6084,41626.38059990782,32704.544990162693
2020,9,21,16,53612.5092,44481.75329199693,35373.17252279602
2020,9,21,17,54322.95000000002,46170.05776832154,37845.18099952204
2020,9,21,18,53306.1154,46792.99895826424,39687.36798544424
2020,9,21,19,51544.9464,46739.56606718216,40531.522831527385
2020,9,21,20,48535.319,45220.924537367166,38710.1423480868
2020,9,21,21,44064.2324,42907.27204575886,36828.56902564178
2020,9,21,22,39188.1418,38735.03370272322,33604.81181046852
2020,9,21,23,36051.398,34784.07611822312,30648.633028528187
2020,9,21,24,32620.323600000007,31066.57288014072,28267.58414796208
2020,9,22,1,29543.12320000001,28314.474188031323,24753.33315431345
2020,9,22,2,26403.82840000001,24518.5254827951,21074.32521669703
2020,9,22,3,24380.2552,21993.12054856421,17311.54563317568
2020,9,22,4,23366.1712,20497.60309677976,15357.64554793216
2020,9,22,5,19275.1368,17174.311624240454,14187.997139898434
2020,9,22,6,19210.1858,16888.872127824136,13577.57980096415
2020,9,22,7,19540.0196,16833.17069003199,13064.093932683109
2020,9,22,8,20448.194000000003,17205.546089413074,12806.521631264022
2020,9,22,9,20116.7254,17501.96124515147,13144.709129297731
2020,9,22,10,23834.3124,18786.44665642024,13978.315381204591
2020,9,22,11,24504.6248,19852.29740097852,16042.471210229824
2020,9,22,12,27644.8274,22181.40415807252,20320.534600390136
2020,9,22,13,31216.04040000001,24625.824966851145,24831.394715240327
2020,9,22,14,34838.8088,27692.461278633426,28069.61409798924
2020,9,22,15,37174.3404,30868.18068534069,29946.445978372813
2020,9,22,16,38927.7826,34127.568030936265,30721.96128056297
2020,9,22,17,39802.019,36888.4307210468,33555.0921169531
2020,9,22,18,40704.9064,38937.5206272217,35726.51047846553
2020,9,22,19,40698.7866,40223.57762617394,36841.34556661328
2020,9,22,20,39171.8198,40164.96213191512,34086.366890832534
2020,9,22,21,36793.1716,38192.14225571754,29818.152991492818
2020,9,22,22,33478.9414,34340.37457135176,25728.95731259313
2020,9,22,23,31994.3408,31259.84748103989,23222.59802523232
2020,9,22,24,29331.4728,28206.83417822764,21846.01536168981
2020,9,23,1,26839.4638,25682.45092408237,20555.417105383967
2020,9,23,2,24795.1432,22414.775911024117,17123.393292036166
2020,9,23,3,22697.458,19490.28839636545,14047.543139457246
2020,9,23,4,21266.036,17947.588728128,11973.890492551998
2020,9,23,5,19094.645,16164.030257745651,11053.010132398798
2020,9,23,6,18756.0554,15741.089882674629,10599.053438128263
2020,9,23,7,18750.9856,15762.821310768575,10201.985175564012
2020,9,23,8,19203.0482,16139.801897329826,10236.968018901993
