Year,Month,Day,Period,1,2,3
2020,5,6,3,10256.9801,9060.736366866146,6239.371998304992
2020,5,6,4,9640.6725,8480.322955499363,5348.254121522127
2020,5,6,5,8707.5494,7822.901925966791,4888.712760366535
2020,5,6,6,8655.821299999998,7843.703185972636,4624.820137078612
2020,5,6,7,8744.234400000001,7987.53860062738,4492.891181728744
2020,5,6,8,9070.502,8336.747500080806,4553.94935503625
2020,5,6,9,9552.7083,8850.736345757861,4889.298387950308
2020,5,6,10,9120.7676,8739.890491956081,4969.94553713885
2020,5,6,11,9417.0874,9010.03806811456,5928.600334278072
2020,5,6,12,10934.4911,9917.269005380136,7239.669058293547
2020,5,6,13,12720.5736,11104.9738434388,8355.95811757187
2020,5,6,14,14377.6518,11846.05358758916,9098.601591019273
2020,5,6,15,15730.099300000002,12459.7617417855,9878.143220892329
2020,5,6,16,16989.416299999997,13211.269500555049,10643.406539976164
2020,5,6,17,17575.492900000005,13668.26174708154,10750.3964971004
2020,5,6,18,17628.914700000005,13924.360787870772,11090.343154840855
2020,5,6,19,17189.846,14068.436778617415,11850.43079880976
2020,5,6,20,16746.2834,13834.483842003192,12525.519726195886
2020,5,6,21,15668.7116,13437.507018927708,12879.928156809508
2020,5,6,22,14363.007500000002,12603.847258423411,12265.638893620053
2020,5,6,23,12674.006700000002,11667.31611774504,11255.345480423272
2020,5,6,24,12099.0187,11375.65887975272,10146.903465653524
2020,5,7,1,11017.427500000003,10669.177355819793,9556.192663966593
2020,5,7,2,10087.9752,9512.474698721166,7718.188478811061
2020,5,7,3,9344.8107,8449.77372139284,6086.785322818314
2020,5,7,4,8806.594299999999,7932.053844014271,4978.170099290005
2020,5,7,5,10879.260300000002,9381.421083527906,4566.233080930116
2020,5,7,6,10948.185,9473.564859278204,4402.513495900692
2020,5,7,7,11220.7487,9634.23285635134,4433.6245840711845
2020,5,7,8,11729.0221,10137.3782506079,4814.877416487026
2020,5,7,9,12072.0256,10530.854886485393,5686.88083679663
2020,5,7,10,12177.9507,11053.643731157636,6544.780922931808
2020,5,7,11,14469.671800000004,12976.461169543663,7708.410922761027
2020,5,7,12,16946.685099999995,14442.769372750932,8479.70744917047
2020,5,7,13,19644.9991,16150.28441976915,9323.065329834346
2020,5,7,14,22295.3176,17825.85169023548,10044.418366002572
2020,5,7,15,24158.6686,19071.06044346408,10531.46960041078
2020,5,7,16,25212.948900000003,19784.341596990296,10799.089165068115
2020,5,7,17,25038.8221,19818.95497448941,11144.61235666898
2020,5,7,18,24548.9078,19702.501553956663,11312.239590169063
2020,5,7,19,23614.572300000007,19086.32500124778,11499.110545487176
2020,5,7,20,22212.4289,18439.898138527,11312.04083243925
2020,5,7,21,20409.055100000005,17638.560589426,10633.9832762978
2020,5,7,22,18429.5302,16369.750195993309,9769.683983184828
2020,5,7,23,16203.8105,14623.646082279,9159.659713673746
2020,5,7,24,15133.341,13805.596078557965,8677.911237313654
2020,5,8,1,13725.463200000004,12799.318925060968,8273.313916087789
2020,5,8,2,12535.3337,11462.8184848185,6924.456474637552
2020,5,8,3,11653.543,10309.234724163904,5461.775755426816
2020,5,8,4,11197.9822,9678.482260656672,4904.510018744364
2020,5,8,5,10935.6322,9388.400520166466,4570.224550327447
2020,5,8,6,10938.71,9372.129347006188,4519.110288831873
2020,5,8,7,11168.0948,9526.24585563732,4523.544792719652
2020,5,8,8,11676.208800000002,9956.092230356446,4925.788401827791
2020,5,8,9,12055.671200000004,10433.48575314286,5769.054978018452
2020,5,8,10,12179.9325,10984.15111999956,6707.523374159072
2020,5,8,11,14439.1441,12938.004227739695,7803.238239953973
